Electoral District Number / No de circonscription	Electoral District Name	Nom de la circonscription	Political Affiliation	Appartenance politique	Candidate's Family Name / Nom de famille du candidat	Candidate's First Name / Prénom du candidat	 Candidate's Initial(s) / Initiale(s) du candidat	 Candidate's Campaign Office Telephone Number / Numéro de téléphone du bureau de campagne du candidat	Date of Receipt of Notification of Confirmation / Date de réception de l'avis de confirmation	Time of Receipt of Notification of Confirmation / Heure de réception de l'avis de confirmation
10001	Avalon	Avalon	Liberal Party of Canada	Parti libéral du Canada	Andrews	Scott		(709) 834-2808	16-Sep-2008	03:59:00
10001	Avalon	Avalon	Green Party of Canada	Le Parti Vert du Canada	Aylward	Dave		(709) 689-2269	22-Sep-2008	07:05:00
10001	Avalon	Avalon	New Democratic Party	Nouveau Parti démocratique	Dawe	Randy Wayne		1 800 663-4450	20-Sep-2008	11:45:00
10001	Avalon	Avalon	Conservative Party of Canada	Parti conservateur du Canada	Manning	Fabian		(709) 229-1000	13-Sep-2008	12:50:00
10002	Bonavista--Gander--Grand Falls--Windsor	Bonavista--Gander--Grand Falls--Windsor	New Democratic Party	Nouveau Parti démocratique	Holley	Jason			19-Sep-2008	10:15:00
10002	Bonavista--Gander--Grand Falls--Windsor	Bonavista--Gander--Grand Falls--Windsor	Conservative Party of Canada	Parti conservateur du Canada	House	Andrew		(709) 256-3100	12-Sep-2008	06:30:00
10002	Bonavista--Gander--Grand Falls--Windsor	Bonavista--Gander--Grand Falls--Windsor	Green Party of Canada	Le Parti Vert du Canada	O'Connor	Robert Karl		(709) 884-2996	19-Sep-2008	01:00:00
10002	Bonavista--Gander--Grand Falls--Windsor	Bonavista--Gander--Grand Falls--Windsor	Liberal Party of Canada	Parti libéral du Canada	Simms	Scott		(709) 256-6178	17-Sep-2008	12:45:00
10003	Humber--St. Barbe--Baie Verte	Humber--St. Barbe--Baie Verte	Newfoundland and Labrador First Party	Newfoundland and Labrador First Party	Bennett	Wayne Ronald		1 877 630-3374	13-Sep-2008	01:22:00
10003	Humber--St. Barbe--Baie Verte	Humber--St. Barbe--Baie Verte	Liberal Party of Canada	Parti libéral du Canada	Byrne	Gerry		(709) 634-1021	12-Sep-2008	04:55:00
